,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords
38,52857532,,3029,1885,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554113.0, 146312.0), (554109.3811090001, 146311.74646199998)]"
39,52107506,,3030,2510,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554039.0, 146339.0), (554039.0, 146339.0)]"
40,52107546,,3026,2511,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554039.0, 146339.0), (554039.0, 146339.0)]"
41,52889604,,2502,2513,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(553992.0, 146424.0), (553992.0, 146424.0)]"
42,52114130,,264,204,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(553981.0, 145938.0), (553988.6692390001, 145937.681373)]"
43,43959929,,127,204,0.248,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554022.719531, 146020.261216), (553988.6692390001, 145937.681373)]"
44,52114150,,189,113,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(553981.0, 145938.0), (553984.272809, 145933.525346)]"
45,52114140,,316,106,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(553981.0, 145938.0), (553981.3418020001, 145930.754609)]"
46,52869180,,457,127,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554021.0, 146014.0), (554022.719531, 146020.261216)]"
47,52818650,,181,213,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554240.0, 146124.0), (554240.267471, 146130.480239)]"
48,137006818,,377,213,0.1,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554209.018503, 146150.11117699998), (554240.267471, 146130.480239)]"
49,52818640,,239,387,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554240.0, 146124.0), (554243.993888, 146127.93181900002)]"
50,43996378,,325,351,0.276,0.1654,0.1012,0.03157209741953885,0.46,1.0,1,cs,True,"[(554001.929, 145914.67), (553860.473803, 145767.14691500002)]"
51,52113280,,350,351,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(553856.0, 145763.0), (553860.473803, 145767.14691500002)]"
