,name,bus,p_kw,q_kvar,const_z_percent,const_i_percent,sn_kva,scaling,in_service,type
94,load 42774952,922,1.0475947303040118,0.34432773652006665,0.0,0.0,,1.0,True,
95,load 42770669,590,3.109045027968667,1.021893682978675,0.0,0.0,,1.0,True,
96,load 42758372,755,7.788768436208508,2.560044383900567,0.0,0.0,,1.0,True,
97,load 42769411,960,4.794351478059664,1.5758271254790006,0.0,0.0,,1.0,True,
98,load 42739647,1693,5.261852845454322,1.729487394091009,0.0,0.0,,1.0,True,
99,load 42747287,1292,4.867391981561565,1.5998343780143367,0.0,0.0,,1.0,True,
100,load 42772045,1098,4.931590596536205,1.620935442330999,0.0,0.0,,1.0,True,
101,load 42778310,1394,5.339622886993186,1.7550491706039333,0.0,0.0,,1.0,True,
102,load 42781234,1632,5.7821308800242095,1.90049451432783,0.0,0.0,,1.0,True,
103,load 42783841,1163,0.6138978422021164,0.2017784629354376,0.0,0.0,,1.0,True,
104,load 42767367,1454,1.5285439055560097,0.5024080858242819,0.0,0.0,,1.0,True,
105,load 42792092,814,3.016302395860521,0.9914106539322766,0.0,0.0,,1.0,True,
106,load 42780106,1150,1.3016864638136458,0.42784365058202684,0.0,0.0,,1.0,True,
107,load 42778587,684,3.6415480806170293,1.196918972343415,0.0,0.0,,1.0,True,
108,load 42738222,592,2.9354124809540405,0.9648234246332457,0.0,0.0,,1.0,True,
109,load 42750515,693,2.2768118495869665,0.7483518654421247,0.0,0.0,,1.0,True,
110,load 42779602,817,2.9718268661691627,0.9767922542533165,0.0,0.0,,1.0,True,
111,load 42717547,1372,3.3246946441868737,1.0927742841175216,0.0,0.0,,1.0,True,
112,load 42788390,1020,5.516582922189896,1.813213121424984,0.0,0.0,,1.0,True,
113,load 42779258,733,1.1595333596115185,0.381120184728953,0.0,0.0,,1.0,True,
114,load 42771645,927,4.384268932733876,1.4410395110191239,0.0,0.0,,1.0,True,
115,load 42773590,1000,4.442965801026251,1.4603322386506046,0.0,0.0,,1.0,True,
116,load 42763361,815,2.1608028237997337,0.7102215426085763,0.0,0.0,,1.0,True,
117,load 42784482,1528,3.983527615987473,1.3093222099161328,0.0,0.0,,1.0,True,
118,load 42761907,1338,3.0161237285573628,0.9913519288296133,0.0,0.0,,1.0,True,
119,load 42762171,807,2.2676122561389587,0.7453281053016568,0.0,0.0,,1.0,True,
120,load 42786641,1139,0.7017240365232218,0.23064553702713508,0.0,0.0,,1.0,True,
121,load 42747286,1087,4.495040398624837,1.477448331164845,0.0,0.0,,1.0,True,
122,load 42781957,1512,7.999135110180485,2.6291885658945,0.0,0.0,,1.0,True,
123,load 42766345,672,4.371419331388841,1.4368160512991255,0.0,0.0,,1.0,True,
124,load 42752486,1350,4.366636730443983,1.4352440863871376,0.0,0.0,,1.0,True,
125,load 42794418,631,1.7861593815094168,0.5870821980182545,0.0,0.0,,1.0,True,
126,load 42789463,599,2.557530158081025,0.8406195114768182,0.0,0.0,,1.0,True,
127,load 42732166,1280,7.441761623927738,2.445988760315093,0.0,0.0,,1.0,True,
128,load 42792009,921,6.40110890757773,2.103942753439637,0.0,0.0,,1.0,True,
129,load 42786516,1278,5.846897507396718,1.921782275291216,0.0,0.0,,1.0,True,
130,load 42722926,915,7.44375737891504,2.44664473325725,0.0,0.0,,1.0,True,
131,load 42842926,1102,4.232953784924671,1.3913046270614475,0.0,0.0,,1.0,True,
132,load 42768607,1501,1.0181961692964279,0.33466489680174266,0.0,0.0,,1.0,True,
133,load 42769846,1446,2.0360683394227714,0.6692233002261876,0.0,0.0,,1.0,True,
134,load 42791798,1732,3.751773202263502,1.2331482178200173,0.0,0.0,,1.0,True,
135,load 42767822,1683,3.4408581685431052,1.1309553881749728,0.0,0.0,,1.0,True,
136,load 42789777,1614,4.103915364469923,1.3488917493005852,0.0,0.0,,1.0,True,
137,load 42974549,118,2.106516735067986,0.6923785681101214,0.0,0.0,,1.0,True,
138,load 42903234,474,7.723482538112241,2.538585946903997,0.0,0.0,,1.0,True,
139,load 42933417,429,6.306957193102538,2.0729965814163025,0.0,0.0,,1.0,True,
140,load 42767560,561,4.1651985048462405,1.3690345434577256,0.0,0.0,,1.0,True,
141,load 42768356,1324,4.697014653405079,1.5438340583664567,0.0,0.0,,1.0,True,
142,load 42831040,698,10.608650539086833,3.4868948095950203,0.0,0.0,,1.0,True,
143,load 42774117,619,1.1797381280479693,0.3877611709628339,0.0,0.0,,1.0,True,
144,load 42783766,1154,2.9722894259307258,0.9769442902946377,0.0,0.0,,1.0,True,
145,load 42763524,1386,4.369020187303863,1.4360274907723596,0.0,0.0,,1.0,True,
146,load 42763985,582,2.190490731469846,0.7199794859757599,0.0,0.0,,1.0,True,
147,load 42761819,1518,3.104195106799386,1.0202995909789618,0.0,0.0,,1.0,True,
148,load 42768601,1042,8.73450980094397,2.870894538099279,0.0,0.0,,1.0,True,
149,load 42777550,1173,2.1496935558535997,0.706570102814509,0.0,0.0,,1.0,True,
150,load 42773267,559,2.6589409376431625,0.8739516228126905,0.0,0.0,,1.0,True,
151,load 42778702,837,1.0574439148036632,0.3475650069140761,0.0,0.0,,1.0,True,
152,load 42784705,663,6.059738784779629,1.9917398200929441,0.0,0.0,,1.0,True,
153,load 42766948,1549,4.834949995088831,1.5891712127203217,0.0,0.0,,1.0,True,
154,load 42764009,1544,2.4295541358776114,0.798555827134539,0.0,0.0,,1.0,True,
155,load 42756654,764,1.1580956457248326,0.38064763102660437,0.0,0.0,,1.0,True,
156,load 42767672,1462,2.1100326441237605,0.6935341915320089,0.0,0.0,,1.0,True,
157,load 42774021,1464,5.117426251073007,1.6820166681527557,0.0,0.0,,1.0,True,
158,load 42778658,673,4.329172207237635,1.4229300931011062,0.0,0.0,,1.0,True,
159,load 42769804,627,1.6893181894801836,0.5552520374716714,0.0,0.0,,1.0,True,
160,load 42786672,1664,4.629488685323917,1.5216393459713633,0.0,0.0,,1.0,True,
161,load 42767821,1151,4.219708879694237,1.3869512372376036,0.0,0.0,,1.0,True,
162,load 42746222,1420,2.4084674500592684,0.7916249686751491,0.0,0.0,,1.0,True,
163,load 42778968,923,2.902610229243293,0.9540418458818467,0.0,0.0,,1.0,True,
164,load 42777449,760,5.9780360804729336,1.9648854398372049,0.0,0.0,,1.0,True,
165,load 42784322,1650,4.525580067698878,1.487486234966905,0.0,0.0,,1.0,True,
166,load 42767036,1201,1.280818785155228,0.42098477629502473,0.0,0.0,,1.0,True,
167,load 42763627,1234,2.336875486049654,0.7680938280466514,0.0,0.0,,1.0,True,
168,load 42771143,750,5.250639225659058,1.7258016555027866,0.0,0.0,,1.0,True,
169,load 42763336,1077,2.272221475305762,0.7468430823790708,0.0,0.0,,1.0,True,
170,load 42778811,1792,4.3326873136871935,1.4240854527190878,0.0,0.0,,1.0,True,
171,load 42767841,1155,3.3241741859353127,1.0926032177628244,0.0,0.0,,1.0,True,
172,load 42790131,1439,6.702895676184574,2.2031352674339977,0.0,0.0,,1.0,True,
173,load 42787845,1001,4.323330365744968,1.4210099726574923,0.0,0.0,,1.0,True,
174,load 42771241,1304,5.053089067030379,1.660870058385977,0.0,0.0,,1.0,True,
175,load 42787006,1346,0.41238779374768764,0.1355453129746443,0.0,0.0,,1.0,True,
176,load 42782002,1555,3.278298556030148,1.0775246273979284,0.0,0.0,,1.0,True,
177,load 42785167,1495,2.0577289058989345,0.6763427841360725,0.0,0.0,,1.0,True,
178,load 42772678,1722,1.0443878389605306,0.3432736823084287,0.0,0.0,,1.0,True,
179,load 42763395,1748,1.9868012185630535,0.6530299806916722,0.0,0.0,,1.0,True,
180,load 42774203,1048,3.6746424246222764,1.2077965571892613,0.0,0.0,,1.0,True,
181,load 42774753,944,1.6815470716602785,0.5526977945647964,0.0,0.0,,1.0,True,
182,load 42784295,774,5.49504223476992,1.8061330398554116,0.0,0.0,,1.0,True,
183,load 42772783,824,0.28343417725494535,0.09316030892814901,0.0,0.0,,1.0,True,
184,load 42750394,551,2.6390046976441184,0.8673988976079736,0.0,0.0,,1.0,True,
185,load 42734326,1391,5.312421698778125,1.7461085723956642,0.0,0.0,,1.0,True,
186,load 42773625,1005,4.41652017150423,1.451639980575267,0.0,0.0,,1.0,True,
187,load 42782751,950,0.2949542699813244,0.09694678029749644,0.0,0.0,,1.0,True,
188,load 42825438,851,6.570600049536552,2.159651797770116,0.0,0.0,,1.0,True,
189,load 42825446,686,1.5680015607198934,0.5153771899042792,0.0,0.0,,1.0,True,
190,load 42813639,1447,5.06835405040386,1.6658874157866597,0.0,0.0,,1.0,True,
191,load 42775766,1607,1.6311984488346476,0.5361490025243658,0.0,0.0,,1.0,True,
192,load 42764138,1279,4.74422540565907,1.5593514822258807,0.0,0.0,,1.0,True,
193,load 42827556,747,5.156174698053448,1.6947526667755928,0.0,0.0,,1.0,True,
194,load 42825437,966,7.9931786903566175,2.6272307853746226,0.0,0.0,,1.0,True,
195,load 42825439,1119,7.595619907615418,2.4965595326133334,0.0,0.0,,1.0,True,
196,load 42785447,1418,2.6565249436263305,0.8731575239811505,0.0,0.0,,1.0,True,
197,load 42791070,1205,6.333318374942892,2.0816610828809567,0.0,0.0,,1.0,True,
198,load 42775958,677,0.3756962534251036,0.12348538687608158,0.0,0.0,,1.0,True,
199,load 42782047,1473,2.205418314212165,0.7248859451519024,0.0,0.0,,1.0,True,
200,load 42788149,525,1.6470638534285942,0.5413637088366278,0.0,0.0,,1.0,True,
201,load 42772127,520,4.288726945782409,1.4096363785309702,0.0,0.0,,1.0,True,
202,load 42785967,1672,5.819144107024349,1.912660173724153,0.0,0.0,,1.0,True,
203,load 42792688,573,0.5757980612808568,0.18925567053582262,0.0,0.0,,1.0,True,
204,load 42709993,1476,0.5562733344858988,0.1828382031803601,0.0,0.0,,1.0,True,
205,load 42766744,1642,8.333233879486007,2.7390015209250453,0.0,0.0,,1.0,True,
206,load 42777384,977,1.287645630656922,0.42322865189994335,0.0,0.0,,1.0,True,
207,load 42775041,1424,1.2426818696385011,0.4084497783441275,0.0,0.0,,1.0,True,
208,load 42739337,1750,5.808263803757885,1.9090839909809407,0.0,0.0,,1.0,True,
209,load 42932775,305,1.9754830156319032,0.6493098672890144,0.0,0.0,,1.0,True,
210,load 42788358,1647,5.893142320422601,1.9369822102797922,0.0,0.0,,1.0,True,
211,load 42779763,1070,2.6412144169626792,0.868125197224891,0.0,0.0,,1.0,True,
212,load 42785589,1546,6.07230582325064,1.995870405887537,0.0,0.0,,1.0,True,
213,load 42778481,1525,4.944020878488353,1.6250210784315615,0.0,0.0,,1.0,True,
214,load 42789747,1613,5.447861117742425,1.7906253566238906,0.0,0.0,,1.0,True,
215,load 42751378,1521,6.487663676038757,2.1323919300602134,0.0,0.0,,1.0,True,
216,load 42792621,1503,1.438484412107888,0.4728069618074242,0.0,0.0,,1.0,True,
217,load 42773091,1322,1.143849261617228,0.375965071014162,0.0,0.0,,1.0,True,
218,load 42776480,1213,3.7135893145394,1.2205977808511708,0.0,0.0,,1.0,True,
219,load 42781105,1801,0.7074544166127872,0.23252902187920868,0.0,0.0,,1.0,True,
220,load 42793588,1765,5.080607253339192,1.669914848829034,0.0,0.0,,1.0,True,
221,load 42782893,655,1.8346085752736188,0.6030066779172785,0.0,0.0,,1.0,True,
222,load 42779173,1111,1.3029806297880915,0.4282690223672905,0.0,0.0,,1.0,True,
223,load 42766495,523,2.8005391168711133,0.9204926936471858,0.0,0.0,,1.0,True,
224,load 42787880,1065,5.379028458976611,1.768001155770367,0.0,0.0,,1.0,True,
225,load 42770492,1749,1.0512484589511264,0.3455286590510099,0.0,0.0,,1.0,True,
226,load 42782142,1531,3.607400588974179,1.185695234608682,0.0,0.0,,1.0,True,
227,load 42738066,1550,1.2949032621655285,0.42561412001806764,0.0,0.0,,1.0,True,
228,load 42776201,1594,6.917483424719569,2.2736668495435697,0.0,0.0,,1.0,True,
229,load 42749197,1303,4.592066249915487,1.5093391862755303,0.0,0.0,,1.0,True,
230,load 42782966,1384,3.7742696846838837,1.2405424540140324,0.0,0.0,,1.0,True,
231,load 42762633,1583,6.964376997910147,2.2890800216863543,0.0,0.0,,1.0,True,
232,load 42769631,1004,3.7500522401513043,1.232582564928123,0.0,0.0,,1.0,True,
233,load 42762739,1380,1.0922247441604134,0.35899691268857825,0.0,0.0,,1.0,True,
234,load 42793374,1002,0.6660330052961779,0.2189144623653633,0.0,0.0,,1.0,True,
235,load 42784876,1496,3.1685867434171073,1.04146409844166,0.0,0.0,,1.0,True,
236,load 42784210,880,2.83530166096401,0.9319185893461002,0.0,0.0,,1.0,True,
237,load 42793910,1414,5.0852099557251496,1.6714276839441673,0.0,0.0,,1.0,True,
238,load 42788694,583,2.9024137793768015,0.9539772759332664,0.0,0.0,,1.0,True,
239,load 42765005,506,0.8878184778490915,0.2918118219530891,0.0,0.0,,1.0,True,
240,load 42793868,808,6.735089171411405,2.213716757605209,0.0,0.0,,1.0,True,
241,load 42786863,854,5.413187196410408,1.7792285898178342,0.0,0.0,,1.0,True,
242,load 42783436,1131,2.4195181341758683,0.795257152895628,0.0,0.0,,1.0,True,
243,load 42766781,930,6.405739298793422,2.1054646894329943,0.0,0.0,,1.0,True,
244,load 42779978,861,6.979708291442204,2.294119174182173,0.0,0.0,,1.0,True,
245,load 42769097,1494,1.8945271373949883,0.622700956891745,0.0,0.0,,1.0,True,
246,load 42772406,1537,0.7070621356130158,0.23240008534982012,0.0,0.0,,1.0,True,
247,load 42776742,746,6.030826159584851,1.982236699752427,0.0,0.0,,1.0,True,
248,load 42770215,1051,1.8988711633660287,0.6241287691809101,0.0,0.0,,1.0,True,
249,load 42770604,679,6.608687810450157,2.1721706393842704,0.0,0.0,,1.0,True,
250,load 42785339,1684,1.75387341311642,0.5764703133871693,0.0,0.0,,1.0,True,
251,load 42767368,1361,0.6589956223459321,0.21660138644756077,0.0,0.0,,1.0,True,
252,load 42767759,1516,1.0305844004297375,0.3387367114665435,0.0,0.0,,1.0,True,
253,load 42788753,664,0.6624350598605168,0.21773187488936063,0.0,0.0,,1.0,True,
254,load 42785220,843,0.6297618383324246,0.20699270630808891,0.0,0.0,,1.0,True,
255,load 42764852,1644,0.9238519272257425,0.3036554440179614,0.0,0.0,,1.0,True,
256,load 42762877,1490,4.01052974620821,1.318197380925659,0.0,0.0,,1.0,True,
257,load 42792403,995,6.515624300810137,2.141582142993436,0.0,0.0,,1.0,True,
258,load 42788357,1723,3.8672767265101586,1.271112390332035,0.0,0.0,,1.0,True,
259,load 42779885,1432,5.170547808560758,1.6994768797413249,0.0,0.0,,1.0,True,
260,load 42729791,586,2.459292937595573,0.8083304985662988,0.0,0.0,,1.0,True,
261,load 42789700,891,8.533080908174824,2.8046880627222834,0.0,0.0,,1.0,True,
262,load 42772587,1731,0.025595710357809828,0.008412903155374083,0.0,0.0,,1.0,True,
263,load 42790485,1078,6.672793519609607,2.1932411670362013,0.0,0.0,,1.0,True,
264,load 42781803,527,4.703989010290189,1.5461264186184371,0.0,0.0,,1.0,True,
265,load 42791430,1124,1.6310431091130988,0.5360979448269899,0.0,0.0,,1.0,True,
266,load 42770999,798,2.583878698467061,0.8492798578963716,0.0,0.0,,1.0,True,
267,load 42787286,1374,2.559438823192254,0.8412468593609886,0.0,0.0,,1.0,True,
268,load 42781116,1112,5.6415491981540535,1.8542875500177984,0.0,0.0,,1.0,True,
269,load 42778230,1426,3.53442452402039,1.1617091619998714,0.0,0.0,,1.0,True,
270,load 42789690,904,4.17796537670897,1.3732308113118599,0.0,0.0,,1.0,True,
271,load 42776004,1008,1.9988927010296766,0.6570042587865002,0.0,0.0,,1.0,True,
272,load 42768701,1017,4.333696400617178,1.4244171235537175,0.0,0.0,,1.0,True,
273,load 42775097,578,1.6783747686808503,0.5516551089986468,0.0,0.0,,1.0,True,
274,load 173092844,725,6.234243555808054,2.0490967646078646,0.0,0.0,,1.0,True,
275,load 42779853,1286,2.0921598197432303,0.6876596782434755,0.0,0.0,,1.0,True,
276,load 42786810,1115,3.219553539562308,1.0582160742264788,0.0,0.0,,1.0,True,
277,load 42725702,1047,1.029578478830057,0.33840608102567243,0.0,0.0,,1.0,True,
278,load 42763947,1425,3.702737375772524,1.217030921068124,0.0,0.0,,1.0,True,
279,load 42783263,1788,7.325720305487825,2.407847823399894,0.0,0.0,,1.0,True,
280,load 42773687,1759,5.443849713625811,1.7893068718513105,0.0,0.0,,1.0,True,
281,load 42759255,1172,2.5921917711849236,0.8520122327639292,0.0,0.0,,1.0,True,
282,load 42764177,1364,0.8374337032079043,0.27525114738551176,0.0,0.0,,1.0,True,
283,load 42717213,530,6.380697077759425,2.097233709420744,0.0,0.0,,1.0,True,
284,load 42765749,1431,6.015499473193742,1.977199061550608,0.0,0.0,,1.0,True,
285,load 42729041,683,2.485122382099164,0.8168202264202287,0.0,0.0,,1.0,True,
286,load 42783811,1152,4.378531832362241,1.4391538173171516,0.0,0.0,,1.0,True,
287,load 42788037,1706,6.700972530833533,2.202503160125162,0.0,0.0,,1.0,True,
288,load 42793708,513,7.352770688944863,2.416738854481216,0.0,0.0,,1.0,True,
289,load 42790132,712,2.488937907728253,0.8180743290474128,0.0,0.0,,1.0,True,
290,load 42780239,1597,4.095796700621049,1.3462232735381696,0.0,0.0,,1.0,True,
291,load 42720555,1269,3.410816192896473,1.1210810682917542,0.0,0.0,,1.0,True,
292,load 42862574,1448,2.4630614318782387,0.8095691427374684,0.0,0.0,,1.0,True,
293,load 42773123,846,4.277630861403408,1.405989271965869,0.0,0.0,,1.0,True,
294,load 42777123,1023,3.236157066825565,1.0636733897278154,0.0,0.0,,1.0,True,
295,load 42781655,1779,4.376505788872228,1.438487889025583,0.0,0.0,,1.0,True,
296,load 42767823,625,8.15012629376409,2.678816967960575,0.0,0.0,,1.0,True,
297,load 42769825,902,2.890333779495831,0.9500067719818289,0.0,0.0,,1.0,True,
298,load 42764081,906,2.3506289829547575,0.7726143838699858,0.0,0.0,,1.0,True,
299,load 42787119,1713,4.365956468354777,1.4350204950510597,0.0,0.0,,1.0,True,
300,load 42787030,876,1.28540078795378,0.4224908077847939,0.0,0.0,,1.0,True,
301,load 42778749,939,5.712086080294373,1.8774719020061963,0.0,0.0,,1.0,True,
302,load 42793792,690,3.334403670484825,1.0959654867384219,0.0,0.0,,1.0,True,
303,load 42797007,873,4.15594238949892,1.3659922054673588,0.0,0.0,,1.0,True,
304,load 42784625,697,1.0599723013474986,0.3483960473827829,0.0,0.0,,1.0,True,
305,load 42773689,620,3.907506735550135,1.284335354854677,0.0,0.0,,1.0,True,
306,load 42789901,1342,1.9346284987192117,0.6358816369550516,0.0,0.0,,1.0,True,
307,load 42785994,587,6.569168469537262,2.159181260179057,0.0,0.0,,1.0,True,
308,load 42784779,1640,0.2906240729164833,0.095523513349991,0.0,0.0,,1.0,True,
309,load 42772185,1058,2.019131509164186,0.6636564333280781,0.0,0.0,,1.0,True,
310,load 42769673,1775,5.601738589853764,1.8412024358519914,0.0,0.0,,1.0,True,
311,load 42787405,685,2.358395772052134,0.7751672039945698,0.0,0.0,,1.0,True,
312,load 42788175,913,20.890498301974098,6.866374741124917,0.0,0.0,,1.0,True,
313,load 42784735,665,7.9781807853046685,2.622301212373065,0.0,0.0,,1.0,True,
314,load 42775765,1075,9.032680643260301,2.968898554596451,0.0,0.0,,1.0,True,
