,bus,element,et,type,closed,SectionID,FromNodeID,ToNodeID,ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments,Length
21,317,114,b,,True,184842365,184842069,192649077,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
22,128,337,b,,True,42586314,42967550,42974432,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
23,2524,2514,b,,True,175588245,175586744,175587519,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
24,264,122,b,,True,42575387,42879301,42968944,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
25,3034,2515,b,,True,42601687,42981085,42948115,B-BT-240,0.1,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
26,481,378,b,,True,84817586,52826068,84817283,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
27,482,253,b,,True,42575207,105471240,42876278,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
28,423,387,b,,True,42601682,42948113,52818638,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
29,477,457,b,,True,42575212,42879304,42879303,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
30,438,190,b,,True,42574808,42923227,42967551,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
31,430,426,b,,True,42594772,42937053,42937052,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
32,190,337,b,,True,42586315,42967551,42974432,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
33,352,181,b,,True,42601684,42948110,42948112,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
34,379,448,b,,True,42525188,42936276,152492633,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
35,448,286,b,,True,42539933,152492633,192652387,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
36,130,351,b,,True,42586320,42886749,52113278,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
37,1934,2517,b,,True,42599167,42945681,42881441,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
38,2059,2515,b,,True,42601693,42948116,42948115,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
39,239,352,b,,True,42601683,42948111,42948110,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
40,191,379,b,,True,42592364,42940185,42936276,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
41,2515,2518,b,,True,42602773,42948115,42948233,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
42,426,307,b,,True,42594773,42937052,42973502,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
43,1933,2519,b,,True,42599169,42945680,42881439,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
44,366,249,b,,True,184842557,42891677,184841874,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
45,95,348,b,,True,42591700,42876374,52066187,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
