[GENERAL]
DATE=March 15, 2017 at 16:18:13
CYME_VERSION=7.20
CYMDIST_REVISION=05

[SI]

[CABLE]
FORMAT_CABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments
24-UNI-XKDT-400-AL,0.400000,0.400000,1.400000,1.400000,0.000000,0.000000,510.000000,510.000000,510.000000,510.000000,510.000000,38400.000000,,,,,,20.000000,0.000000,0.000000,0,NEXANS,ASE / HD 620; IEC 60502,0,1,27.000000,44.900000,0,0,50.000000,25.000000,,0,0,
M-PPB-T-150-AL-10KV,0.144000,0.144000,0.096000,0.096000,109.956000,109.956000,270.000000,270.000000,270.000000,270.000000,270.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-F-150-10KV,0.159000,0.159000,0.113000,0.113000,101.736000,101.736000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-T-25-10KV,0.927000,0.927000,0.148000,0.148000,57.680000,57.680000,146.000000,146.000000,146.000000,161.000000,161.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GT-F-150,0.159000,0.159000,0.107000,0.107000,101.736000,101.736000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-BT-35,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-95+N,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-TDC-6-RE,3.563900,0.000000,0.100000,0.000000,345.580000,0.000000,50.000000,50.000000,50.000000,58.000000,58.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-X-150-AL,0.263300,0.000000,0.078000,0.000000,230.360000,0.000000,290.000000,290.000000,290.000000,319.000000,319.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-PPB-J-185,0.116000,0.116000,0.093000,0.093000,119.320000,119.320000,305.000000,305.000000,305.000000,305.000000,305.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
